style,mood,tempo_bpm,instrumentation,vocal_style,sample_artists,production_notes,decade_range,prompt
Rock - Glam Rock,"theatrical, flamboyant",120-140,"electric guitars, piano, drums",dramatic vocals,David Bowie; T. Rex; Queen; Roxy Music,"theatrical production, flamboyant style, dramatic vocals",1970s,"Glam rock with theatrical production drama, flamboyant vocal performance, piano-guitar interplay, dramatic arrangement dynamics, androgynous performance style, makeup-and-glitter aesthetic, stadium rock bombast, David Bowie influence"
Rock - Hard Rock,"powerful, aggressive",120-160,"heavy guitars, bass, drums",powerful vocals,Led Zeppelin; Deep Purple; Black Sabbath; AC/DC,"heavy distortion, powerful drums, aggressive energy",1970s,"Hard rock with heavy guitar distortion, powerful drum hits, aggressive bass drive, powerful vocal projection, blues-based riffing, Marshall amplifier tone, classic rock foundation, stadium-ready energy"
Rock - Art Rock,"sophisticated, experimental",80-140,"varied instrumentation, complex arrangements",dramatic vocals,Pink Floyd; Genesis; Yes; King Crimson,"sophisticated production, concept themes, experimental structures",1970s,"Art rock with sophisticated production techniques, concept album narratives, experimental arrangement structures, varied instrumental palette, intellectual lyrical themes, progressive influences, studio-as-instrument approach, avant-garde classical fusion"
Rock - Country Rock,"earthy, authentic",80-120,"acoustic guitars, pedal steel, bass",harmony vocals,"The Eagles; Crosby, Stills & Nash; The Byrds; Gram Parsons","country instrumentation, harmony vocals, authentic sound",1970s,"Country rock with acoustic-electric guitar blend, pedal steel guitar swoops, harmony vocal arrangements, country instrumentation palette, rock rhythm section drive, authentic rootsy feel, West Coast 70s sound, Eagles influence"
Rock - Southern Rock,"rebellious, soulful",100-140,"electric guitars, organ, bass",soulful vocals,Lynyrd Skynyrd; The Allman Brothers; The Marshall Tucker Band; .38 Special,"southern soul, rebellious attitude, guitar solos",1970s,"Southern rock with extended guitar solo sections, dual lead guitar harmonies, organ backing layers, soulful blues-influenced vocals, rebellious outlaw attitude, Southern US regional identity, Allman Brothers influence, jam band extended sections"
Rock - Arena Rock,"epic, anthemic",100-130,"big guitars, keyboards, powerful drums",anthemic vocals,Queen; Boston; Journey; Foreigner,"big production, anthemic choruses, epic scope",1970s,"Arena rock with epic production scale, anthemic chorus sections, keyboard orchestration layers, powerful drum fills, stadium-sized sound design, sing-along vocal hooks, lighter-waving moments, 70s corporate rock polish"
Pop - Michael Jackson Style,"dynamic, theatrical",110-130,"synths, bass, drums, strings",powerful pop vocals,Michael Jackson; Prince; Stevie Wonder,"big production, theatrical elements, danceable grooves",1980s-1990s,"Michael Jackson style pop with dynamic vocal range, theatrical performance energy, synth-bass-strings blend, powerful pop vocal hooks, danceable groove foundation, big production scale, theatrical storytelling elements, Quincy Jones sophistication"
Pop - Thriller Era,"dark, dramatic",120-140,"synths, bass, orchestral elements",dramatic pop vocals,Michael Jackson; Quincy Jones; Janet Jackson,"cinematic production, dark themes, orchestral arrangements",1980s,"Thriller era pop with cinematic production drama, dark atmospheric themes, orchestral arrangement layers, dramatic vocal delivery, Vincent Price narration style, groundbreaking music video aesthetic, genre-blending innovation, cultural phenomenon impact"
Pop - Off the Wall,"disco-funk, smooth",110-125,"disco bass, strings, horns",smooth pop vocals,Michael Jackson; Quincy Jones; Earth Wind & Fire,"disco-funk fusion, smooth production, danceable rhythms",1970s-1980s,"Off the Wall disco-funk fusion, smooth vocal performance, string section arrangements, horn stab accents, disco bass grooves, Quincy Jones production, transition from Motown, sophisticated adult contemporary pop"
Pop - Bad Era,"aggressive, polished",115-135,"synths, guitars, heavy drums",aggressive pop vocals,Michael Jackson; Prince; Madonna,"aggressive production, polished sound, rock elements",1980s,"Bad era pop with aggressive rock guitar elements, polished synth production, powerful vocal assertion, edgy rebellious attitude, rock-pop crossover appeal, leather jacket aesthetic, stadium tour scale, genre-blending confidence"
Pop - Dangerous Era,"experimental, urban",100-120,"hip-hop beats, synths, samples",urban pop vocals,Michael Jackson; Teddy Riley; Janet Jackson,"hip-hop fusion, experimental production, urban elements",1990s,"Dangerous era pop with hip-hop beat fusion, Teddy Riley new jack swing, experimental production techniques, urban contemporary sounds, rap-influenced rhythms, innovative sonic palette, MTV generation appeal, 90s cultural zeitgeist"
Pop - Motown Soul,"smooth, soulful",90-110,"strings, horns, rhythm section",soulful pop vocals,Michael Jackson; Stevie Wonder; Diana Ross; Marvin Gaye,"Motown production, soulful arrangements, smooth vocals",1960s-1970s,"Motown soul pop with classic production aesthetic, soulful vocal delivery, string-horn arrangements, Funk Brothers rhythm section, smooth vocal harmonies, Detroit assembly-line hit formula, timeless songwriting craft, Berry Gordy vision"
Pop - Jackson 5 Era,"upbeat, youthful",120-140,"guitars, bass, drums, harmonies",youthful pop vocals,Michael Jackson; The Jackson 5; Stevie Wonder,"upbeat production, youthful energy, harmony vocals",1970s,"Jackson 5 era pop with youthful energy exuberance, upbeat tempo drive, harmony vocal layers, Motown production polish, bubblegum soul appeal, childhood star delivery, infectious dance grooves, 70s Saturday morning vibes"
Jazz - Ragtime/Hot Jazz,"lively, playful",90-130,"piano, brass, clarinet, banjo",scat/crooner early,Louis Armstrong; Jelly Roll Morton; Bix Beiderbecke; Duke Ellington,"mono-style mix, room mics, early jazz swing",1920s,"Ragtime hot jazz with lively brass section, clarinet lead melodies, stride piano technique, banjo rhythm foundation, early jazz swing feel, 1920s speakeasy energy, Dixieland ensemble interplay, vintage mono recording aesthetic"
Pop - Crooner Traditional,"romantic, classy",70-100,"orchestra, strings, brushed drums",smooth crooner,Frank Sinatra; Nat King Cole; Dean Martin; Bing Crosby,"warm hall reverb, rich strings, intimate vocal focus",1940s-1950s,"Traditional crooner pop with lush orchestral strings, smooth baritone vocal, romantic ballad delivery, brushed jazz drums, warm hall reverb ambiance, intimate vocal focus, Great American Songbook repertoire, supper club sophistication"
Rock - Rock and Roll Early,"rebellious, upbeat",140-170,"slap bass, electric guitar, piano",energetic shouts,Chuck Berry; Little Richard; Elvis Presley; Jerry Lee Lewis,"slapback echo, bright guitars, driving shuffle",1950s,"Early rock and roll with slap bass rhythm, boogie-woogie piano, twangy electric guitar, slapback vocal echo, energetic shouted vocals, rebellious teenage energy, 1950s jukebox sound, birth of rock music"
R&B - Doo-Wop,"sweet, nostalgic",80-110,"vocal harmonies, light drums, bass",doo-wop harmonies,The Platters; The Penguins; Frankie Lymon; The Drifters,"tight vocal stacks, simple rhythm section, gentle plate",1950s-1960s,"Doo-wop with tight vocal harmony stacks, street corner a cappella style, simple rhythm section backup, romantic ballad delivery, sweet nostalgic melodies, 1950s teenage romance themes, gentle plate reverb, vocal group interplay"
Rock - Rockabilly,"twangy, driving",130-170,"upright bass, slapback guitar, snare",echoed leads,Carl Perkins; Buddy Holly; Eddie Cochran; Gene Vincent,"slapback delay, tight trio feel, room mics",1950s,"Rockabilly with upright bass slapping, slapback guitar echo, stripped-down trio arrangement, echoed lead vocals, country-blues fusion, Sun Records aesthetic, Carl Perkins influence, 1950s rebel youth culture"
Country - Honky Tonk,"gritty, barroom",90-120,"telecaster, pedal steel, piano",plainspoken drawl,Hank Williams; Lefty Frizzell; Ernest Tubb; Webb Pierce,"dry vocals, spring reverb guitar, shuffle groove",1940s-1950s,"Honky tonk country with Telecaster twang bite, pedal steel crying, barroom piano, shuffle drum groove, plainspoken vocal drawl, heartache storytelling, dry vocal mix, spring reverb guitar, drinking songs"
Country - Nashville Sound,"smooth, polished",85-110,"strings, background vocals, clean guitars",smooth country croon,Patsy Cline; Jim Reeves; Eddy Arnold; Don Gibson,"orchestral sweetening, gentle compression, radio polish",1950s-1960s,"Nashville Sound with lush string orchestration, smooth vocal crooning, background vocal choruses, clean guitar production, radio-friendly polish, orchestral sweetening techniques, countrypolitan sophistication, Chet Atkins production"
Folk - 60s Revival/Protest,"earnest, reflective",70-100,"acoustic guitar, harmonica, upright bass",plainspoken folk,Bob Dylan; Joan Baez; Peter Paul and Mary; Phil Ochs,"natural room, close-miked vocals, minimal processing",1960s,"1960s folk revival with acoustic fingerpicking, harmonica folk phrases, upright bass foundation, plainspoken vocal delivery, protest song lyrics, coffeehouse intimate atmosphere, natural room acoustics, Bob Dylan influence"
Pop - Baroque Pop,"ornate, melodic",85-120,"chamber strings, harpsichord, bass",harmonic pop,The Beach Boys; The Zombies; The Left Banke; The Beatles,"chamber arrangements, tight vocal stacks, rich harmonies",1960s,"Baroque pop with chamber string arrangements, harpsichord classical touches, Beach Boys vocal harmonies, ornate melodic composition, orchestral pop fusion, sophisticated arrangement craft, 1960s studio experimentation, Left Banke influence"
Rock - Punk 70s,"raw, urgent",160-200,"distorted guitars, fast kit, bass",shouted punk,Ramones; The Sex Pistols; The Clash; Buzzcocks,"dry mix, fast tempos, minimal overdubs",1970s,"1970s punk rock with raw guitar distortion, fast aggressive tempos, minimal production overdubs, shouted punk vocals, rebellious anti-establishment lyrics, DIY recording aesthetic, stripped-down instrumentation, Ramones three-chord approach"
Pop - New Wave,"quirky, polished",120-160,"synths, clean guitars, drum machines",detached pop,Talking Heads; Blondie; The Cars; Duran Duran,"crisp drums, chorus guitars, synth hooks",1980s,"New wave with crisp drum machine programming, chorus guitar jangle, synth hook melodies, detached vocal delivery, quirky art-school sensibility, post-punk commercial appeal, MTV-ready visual aesthetic, 80s radio format"
Rock - Post-Punk,"moody, angular",120-160,"bass-forward, sparse guitars, mechanical drums",detached vocals,Joy Division; Siouxsie and the Banshees; The Cure; Gang of Four,"dry rooms, chorus/flange, stark arrangements",1978-1984,"Post-punk with prominent bass-led grooves, angular guitar textures, mechanical drum patterns, detached emotional vocals, chorus-flange guitar effects, stark minimal arrangements, dark atmospheric mood, Joy Division influence"
Disco - Italo/Hi-NRG,"sleek, driving",118-130,"synth bass, drum machines, strings",diva/male leads,Giorgio Moroder; Sabrina; Patrick Cowley; Donna Summer,"four-on-the-floor, arpeggios, bright synth leads",1980s,"Italo disco Hi-NRG with synth bass arpeggios, drum machine precision, string synth pads, diva-male vocal leads, four-on-the-floor pulse, bright synth lead melodies, sleek European production, Giorgio Moroder influence"
House - Chicago Classic,"groovy, soulful",118-124,"drum machines, piano stabs, 909 hats",sampled phrases,Frankie Knuckles; Marshall Jefferson; Mr. Fingers; Larry Heard,"swingy groove, piano hooks, classic 909/707 palette",1980s-1990s,"Classic Chicago house with piano stab hooks, Roland 909 drum palette, soulful vocal samples, swingy groove pocket, four-on-the-floor foundation, warehouse club atmosphere, Frankie Knuckles legacy, dance music liberation"
Dance - Eurodance,"anthemic, energetic",130-145,"saw leads, synth bass, 4-on-the-floor",rap+diva hook,2 Unlimited; Haddaway; Aqua; La Bouche,"big synth hooks, bright tops, simple chord progressions",1990s,"Eurodance with big synth hook melodies, rap verse sections, diva chorus vocals, driving 4-on-the-floor beats, simple chord progressions, bright top-end production, 90s European club energy, anthemic singalong choruses"
Electronic - Trip-Hop,"smoky, cinematic",70-95,"dusty breaks, sub bass, samples",breathy/haunting,Massive Attack; Portishead; Tricky; Morcheeba,"vinyl grit, slow breaks, moody atmospheres",1990s,"Trip-hop with dusty breakbeat loops, sub-heavy bass weight, vinyl sample grit, breathy haunting vocals, slow tempo atmosphere, moody cinematic textures, Bristol UK sound, film noir aesthetic, Massive Attack influence"
Rock - Britpop,"cheeky, anthemic",110-140,"jangly guitars, live drums, synth pads",UK indie lead,Oasis; Blur; Pulp; Suede,"big choruses, dry drums, melodic hooks",1990s,"Britpop with jangly guitar chords, swaggering vocal delivery, big anthemic choruses, dry drum production, melodic hook craft, British cultural identity, Oasis-Blur rivalry, 1990s Cool Britannia movement"
Reggae - Dancehall,"bouncy, streetwise",90-105,"digital riddims, synth bass, sparse keys",patwa toasting,Shabba Ranks; Beenie Man; Buju Banton; Sean Paul,"digital drums, tight low end, slapback vox",1980s-1990s,"Dancehall with digital riddim programming, synth bass foundation, toasting vocal delivery, Jamaican patois lyrics, tight low-end mix, slapback vocal effects, club-ready energy, 1980s Kingston Jamaica sound"
Latin - Salsa,"fiery, festive",95-115,"congas, timbales, horns, piano montuno",power lead,Celia Cruz; Willie Colón; Héctor Lavoe; Fania All-Stars,"tight horn stabs, lively percussion, call-and-response",1970s-1980s,"Salsa with piano montuno patterns, horn section stabs, conga-timbale percussion, call-and-response vocals, festive dance energy, tight ensemble playing, Fania Records sound, New York Latin culture"
Hip-Hop - G-Funk,"smooth, laid-back",85-100,"sine leads, talkbox, funky bass",melodic rap,Dr. Dre; Snoop Dogg; Warren G; Nate Dogg,"swingy drums, lush synths, deep subs",1990s,"G-funk with sine wave synth leads, talkbox vocal effects, funky bass grooves, melodic rap delivery, swingy drum programming, lush synth layers, deep sub bass, West Coast laid-back vibe, Dr. Dre production"
Pop - Teen Pop 90s,"bright, bubbly",95-115,"synths, clean guitars, tight drums",stacked pop,Britney Spears; Backstreet Boys; NSYNC; Spice Girls,"glossy production, catchy hooks, vocal stacks",1990s,"90s teen pop with glossy production sheen, stacked vocal harmonies, ultra-catchy hook melodies, clean guitar-synth blend, tight drum programming, radio-ready polish, bubblegum appeal, TRL era aesthetics, Max Martin production"
Hip-Hop - Phonk,"dark, aggressive",120-160,"cowbell loops, 808 bass, Memphis samples, vinyl crackle","chopped rap samples, minimal vocals",Kordhell; Pharmacist; DVRST; Shadowraze,"heavy sidechaining, distorted 808s, lo-fi texture, drift car aesthetic",2010s-2020s,"Phonk with dark cowbell loops, heavy distorted 808 bass, Memphis rap samples, vinyl crackle texture, aggressive drift energy, lo-fi production aesthetic, minimal chopped vocals, sidechained compression, underground street racing vibe, TikTok viral sound"
Electronic - Amapiano,"uplifting, groovy",110-125,"log drum bass, piano melodies, percussive rhythms, synth stabs","soulful South African, call-response",Kabza De Small; DJ Maphorisa; Uncle Waffles; Focalistic,"log drum bassline, layered percussion, swing groove, warm mix",2010s-2020s,"Amapiano with deep log drum basslines, jazzy piano chord melodies, syncopated percussive rhythms, Kwaito-influenced grooves, soulful South African vocals, warm layered percussion, swing feel pocket, synth stab accents, township dance energy, smooth transitions, global club appeal"
Pop - Hyperpop,"chaotic, euphoric",140-180,"distorted synths, glitchy percussion, heavy bass","pitch-shifted, autotuned, processed",100 gecs; Charli XCX; SOPHIE; AG Cook,"maximalist production, extreme vocal processing, digital distortion, chaotic layers",2010s-2020s,"Hyperpop with maximalist production chaos, extreme pitch-shifted vocals, heavily distorted synth layers, glitchy percussion cuts, autotuned vocal stacks, digital distortion saturation, experimental pop structures, bass-heavy drops, TikTok Gen Z energy, boundary-pushing sound design, euphoric breakdowns"
Country - Pop Country Contemporary,"anthemic, relatable",90-120,"pop drums, electric guitar, banjo accents, 808 subs",clear country twang with pop sheen,Morgan Wallen; Kelsea Ballerini; Hardy; Lainey Wilson,"pop production polish, 808 bass integration, stadium-ready mix, radio crossover",2020s,"Contemporary pop country with stadium-ready production, storytelling country lyrics, polished pop drum programming, 808 sub bass drops, electric guitar hooks, banjo accent layers, crossover vocal delivery, radio-friendly sheen, anthemic sing-along choruses, modern Nashville sound, viral TikTok appeal"
Hip-Hop - Drill,"menacing, intense",60-80,"sliding 808s, sparse drums, dark piano","aggressive rap, UK/US accents",Pop Smoke; Headie One; King Von; Central Cee,"sliding 808 bass, sparse minimal beats, dark atmosphere, heavy compression",2010s-2020s,"Drill with menacing sliding 808 basslines, sparse minimal drum patterns, dark piano chord loops, aggressive street lyrics, UK-US vocal delivery, cold atmospheric pads, heavy low-end compression, sinister melody lines, trap hi-hat rolls, ominous urban energy, slow tempo intensity"
Latin - Brazilian Funk,"energetic, provocative",130-150,"tamborzão drums, 808 bass, whistle samples, air horn","Portuguese rapid flow, chant hooks",Anitta; MC Kevin; DJ GBR; Tropkillaz,"fast baile funk rhythm, heavy bass, tight compression, club-ready mix",2000s-2020s,"Brazilian funk with fast tamborzão drum patterns, heavy 808 bass drops, favela baile energy, Portuguese rapid-fire flow, whistle sound effects, air horn stabs, provocative chant hooks, tight compression punch, club-ready production, TikTok dance challenge vibes, Rio street party atmosphere"
Hip-Hop - Emo Rap,"melancholic, vulnerable",70-140,"guitar samples, trap drums, atmospheric pads, piano","melodic rap, sung-rap, emotional",Juice WRLD; XXXTentacion; Lil Peep; Trippie Redd,"guitar-driven, melancholic melodies, trap hi-hats, emotional vocal delivery",2010s-2020s,"Emo rap with melancholic guitar sample loops, trap drum programming, confessional vulnerable lyrics, melodic sung-rap delivery, atmospheric pad layers, piano chord progressions, emotional vocal rawness, reverb-soaked production, sad boy aesthetic, Gen Z mental health themes, lo-fi bedroom recording feel"
Electronic - Melodic Synth-Pop 80s Revival,"nostalgic, emotional",85-110,"lush synth pads, drum machines, arpeggiators, reverb guitars","emotional baritone, new wave style",The 1975; CHVRCHES; M83; The Midnight,"80s production aesthetic, lush reverb, analog synth emulation, cinematic scope",2010s-2020s,"Melodic synth-pop 80s revival with lush analog synth pad textures, slow emotional tempo, Depeche Mode atmospheric influence, drum machine precision, reverb-drenched guitar layers, baritone vocal delivery, cinematic arpeggiator sequences, Stranger Things nostalgia aesthetic, Tears for Fears melodic craft, modern production clarity"
Electronic - Deconstructed Club,"experimental, intense",100-150,"fragmented rhythms, industrial sounds, distorted samples","processed, fragmented, minimal",Arca; Objekt; Amnesia Scanner; SOPHIE,"avant-garde production, fragmented structures, industrial textures, experimental mixing",2010s-2020s,"Deconstructed club with fragmented rhythm structures, industrial sound design, distorted sample manipulation, avant-garde production techniques, processed vocal fragments, experimental beat deconstruction, harsh digital textures, unconventional club energy, boundary-pushing electronic experimentation, abstract sonic architecture, underground art scene influence"
Electronic - Electroclash,"edgy, retro-futuristic",120-135,"lo-fi synths, punk guitars, drum machines, vocoders","deadpan, provocative, vocoded",Peaches; Fischerspooner; Miss Kittin; The Hacker,"lo-fi synth aesthetic, punk attitude, 2000s production, dirty digital sound",2000s-2020s,"Electroclash with lo-fi synthesizer textures, punk guitar attitude, retro drum machine programming, provocative deadpan vocals, vocoder processing effects, new wave revival energy, dirty digital production aesthetic, edgy fashion-forward vibe, 2000s Berlin nightclub atmosphere, Gen Z nostalgia rediscovery, synth-punk fusion rebellion"
Dance - Jersey Club,"energetic, playful",130-140,"bed squeak samples, chopped vocals, 808s, synth stabs",chopped and pitched vocals,DJ Sliink; R3ll; Uniiqu3; ESTA,"bed squeak signature sound, rapid vocal chops, Baltimore club evolution, TikTok viral",2000s-2020s,"Jersey club with signature bed squeak percussion, rapid chopped vocal samples, high-energy 808 bass, Baltimore club evolution, viral TikTok dance energy, synth stab accents, playful sample manipulation, fast-paced groove, call-and-response vocal cuts, party workout intensity, viral challenge soundtrack potential"
Afrobeats - Afro-Fusion,"smooth, global",95-115,"Afro percussion, R&B keys, trap drums, guitar licks",melodic Afro-R&B blend,WizKid; Burna Boy; Tems; Omah Lay,"genre-blending, global appeal, R&B smoothness, Afrobeat rhythms",2010s-2020s,"Afro-fusion blending Afrobeats percussion rhythms, smooth R&B keyboard textures, trap drum programming, guitar lick accents, melodic vocal delivery, dancehall influence layers, hip-hop production polish, global crossover appeal, Nigerian-American sound bridge, streaming platform optimization, contemporary urban sophistication"
Electronic - Tech House,"groovy, hypnotic",125-130,"rolling bassline, tech elements, minimal vocals, percussion loops","minimal vocal hooks, samples",Fisher; Chris Lake; CamelPhat; Dom Dolla,"groovy bassline, tech production, minimal arrangement, Ibiza sound",2000s-2020s,"Tech house with groovy rolling bassline foundation, minimal tech production elements, hypnotic percussion loop layers, stripped-down vocal sample hooks, Ibiza club atmosphere, driving four-on-the-floor pulse, underground warehouse energy, filter sweep transitions, modern club standard sound, festival main stage appeal"
Electronic - Hard Techno,"aggressive, industrial",150-160,"distorted kicks, industrial sounds, acid synths, minimal elements","minimal, shouted phrases",Amelie Lens; AIROD; Kobosil; I Hate Models,"aggressive kicks, industrial textures, rave energy, distorted production",2010s-2020s,"Hard techno with aggressive distorted kick drums, industrial sound design textures, acid synth lead screams, minimal relentless structure, fast-paced rave energy, harsh digital distortion, shouted vocal phrase samples, underground warehouse atmosphere, Berlin techno brutality, peak-time festival intensity, uncompromising sonic assault"
Latin - Trap Corridos (Regional Mexican Fusion),"streetwise, proud",80-100,"tuba bass, trap drums, accordion, guitar","Spanish narrative corrido, rap flow",Peso Pluma; Natanael Cano; Junior H; Eslabón Armado,"tuba 808 fusion, regional Mexican instruments, trap production, corrido storytelling",2020s,"Trap corridos blending traditional Mexican tuba bass, trap drum programming, accordion melody lines, acoustic guitar strumming, Spanish narrative storytelling, rap flow delivery, regional pride themes, 808 sub-bass foundation, corrido vocal tradition, modern trap production polish, cross-border cultural fusion, streaming breakthrough sound"
Rock - Rap Metal (Rage Against the Machine),"defiant, explosive",90-105,"drop-tuned guitars, funk-influenced bass, live drums, DJ scratches","urgent shouted rap",Rage Against the Machine,"dry punchy drums, tight guitar-bass lock, wah-pedal riffing, crowd-chant shouts, minimal reverb",1990s,"Rap metal in the style of Rage Against the Machine with Tom Morello-inspired guitar effects, drop-tuned riffing, funk-rooted bass grooves, militant shouted rap vocals, tight punchy live drums, DJ scratch accents, politically charged energy, call-and-response crowd chants, minimal reverb, explosive chorus hits, confrontational attitude"
"Soul - 1950s Motown","warm, soulful, romantic","85-110","upright bass, walking bassline, tight snare backbeat, brushed drums, tambourine, handclaps, horn section, muted trumpets, soulful sax","gospel-inspired vocals, call-and-response harmonies, male and female lead vocals, smooth phrasing","The Temptations; The Supremes; Smokey Robinson; Marvin Gaye; The Four Tops; The Miracles","warm analog recording, mono mix feel, tape saturation, vintage tube microphones, analog console sound","1950s","1950s Motown style with warm analog recording, upright bass groove, tight snare backbeat, horn section stabs, and gospel-inspired call-and-response vocals. Timeless soulful vibe with tape saturation and mono mix feel."
"Metal - Rap Metal","aggressive, confrontational, rebellious","100-140","drop-tuned guitars, wah guitar leads, punchy distorted bass, tight groovy basslines, live drums","raw male rap vocals, shouted delivery, aggressive protest lyrics","Rage Against the Machine; Limp Bizkit; Body Count; Biohazard; Faith No More","raw analog production, no polish, stripped-down arrangement, mosh-pit intensity","1990s","Rap metal with aggressive protest lyrics, raw shouted rap vocals, drop-tuned guitar riffs, and hip-hop influenced rhythms. High-energy breakdowns, militant groove, and confrontational anti-establishment attitude. Raw analog production with no polish."
"Pop - Cinematic Alt-Pop","dark nostalgia, euphoric melancholy, emotive","110-130","synths, hybrid synth-rock guitars, atmospheric pads, dynamic builds, electronic elements","emotive vocals, expressive delivery","The 1975; Twenty One Pilots; Imagine Dragons; Billie Eilish; Lorde","polished production, dynamic builds, atmospheric groove, viral modern edge","2010s-2020s","Cinematic alt-pop with hybrid synth-rock elements, anthemic pulse, and dark nostalgic atmosphere. Emotive vocals with dynamic builds leading to euphoric melancholy moments. Polished production with viral modern edge."
"Techno - Melodic Peak-Time","dark, hypnotic, driving, energetic","125-135","powerful four-on-the-floor kick, tight rolling bassline, analog synth stabs, delayed arpeggios, crisp hi-hats, percussive shakers","short vocal phrases, looped vocal hooks","ARTBAT; Tale Of Us; Stephan Bodzin; Adriatique; Maceo Plex","heavy sidechain compression, stripped-down intro, tension-building risers, controlled breakdowns, energy-focused drops, DJ-friendly arrangement, underground warehouse club vibe","2010s-2020s","Melodic techno peak-time club track with powerful four-on-the-floor kick, tight rolling bassline, and hypnotic repetition. Dark club atmosphere with minor-key melodies, delayed arpeggios, and controlled breakdowns leading to energy-focused drops. Heavy sidechain compression and crisp hi-hats. Underground warehouse club vibe with late-night dancefloor energy."
