style,mood,tempo_bpm,instrumentation,vocal_style,sample_artists,production_notes,decade_range,prompt
"House - Chicago Classic","groovy, soulful","118-124","drum machines, piano stabs, 909 hats","sampled phrases","Frankie Knuckles; Marshall Jefferson; Mr. Fingers; Larry Heard","swingy groove, piano hooks, classic 909/707 palette","1980s-1990s","Classic Chicago house with piano stabs, soulful samples, and 4-on-the-floor groove. Club-ready and warm."
"Dance - Eurodance","anthemic, energetic","130-145","saw leads, synth bass, 4-on-the-floor","rap+diva hook","2 Unlimited; Haddaway; Aqua; La Bouche","big synth hooks, bright tops, simple chord progressions","1990s","Eurodance with big hooks, rap verses, and diva choruses over driving 4-on-the-floor beats. Bright and catchy."
"Electronic - Trip-Hop","smoky, cinematic","70-95","dusty breaks, sub bass, samples","breathy/haunting","Massive Attack; Portishead; Tricky; Morcheeba","vinyl grit, slow breaks, moody atmospheres","1990s","Trip-hop with dusty breakbeats, sub-heavy bass, and noir textures. Brooding, spacious, and cinematic."
"Rock - Britpop","cheeky, anthemic","110-140","jangly guitars, live drums, synth pads","UK indie lead","Oasis; Blur; Pulp; Suede","big choruses, dry drums, melodic hooks","1990s","Britpop with jangly guitars, swaggering vocals, and big, sing-along choruses. Hooky and distinctly British."
"Reggae - Dancehall","bouncy, streetwise","90-105","digital riddims, synth bass, sparse keys","patwa toasting","Shabba Ranks; Beenie Man; Buju Banton; Sean Paul","digital drums, tight low end, slapback vox","1980s-1990s","Dancehall with digital riddims, toasting vocals, and heavy bass. Club-ready and infectious."
"Latin - Salsa","fiery, festive","95-115","congas, timbales, horns, piano montuno","power lead","Celia Cruz; Willie Colón; Héctor Lavoe; Fania All-Stars","tight horn stabs, lively percussion, call-and-response","1970s-1980s","Salsa with montuno piano, horn stabs, and driving percussion. Festive, dancefloor-focused Latin energy."
"Hip-Hop - G-Funk","smooth, laid-back","85-100","sine leads, talkbox, funky bass","melodic rap","Dr. Dre; Snoop Dogg; Warren G; Nate Dogg","swingy drums, lush synths, deep subs","1990s","G-funk with sine-lead hooks, talkbox vocals, and relaxed West Coast bounce. Smooth and bass-heavy."
"Pop - Teen Pop 90s","bright, bubbly","95-115","synths, clean guitars, tight drums","stacked pop","Britney Spears; Backstreet Boys; NSYNC; Spice Girls","glossy production, catchy hooks, vocal stacks","1990s","90s teen pop with glossy production, stacked harmonies, and ultra-catchy hooks. Clean, upbeat, and radio-ready."
"Soul - 1950s Motown","warm, soulful, romantic","85-110","upright bass, walking bassline, tight snare backbeat, brushed drums, tambourine, handclaps, horn section, muted trumpets, soulful sax","gospel-inspired vocals, call-and-response harmonies, male and female lead vocals, smooth phrasing","The Temptations; The Supremes; Smokey Robinson; Marvin Gaye; The Four Tops; The Miracles","warm analog recording, mono mix feel, tape saturation, vintage tube microphones, analog console sound","1950s","1950s Motown style with warm analog recording, upright bass groove, tight snare backbeat, horn section stabs, and gospel-inspired call-and-response vocals. Timeless soulful vibe with tape saturation and mono mix feel."
"Metal - Rap Metal","aggressive, confrontational, rebellious","100-140","drop-tuned guitars, wah guitar leads, punchy distorted bass, tight groovy basslines, live drums","raw male rap vocals, shouted delivery, aggressive protest lyrics","Rage Against the Machine; Limp Bizkit; Body Count; Biohazard; Faith No More","raw analog production, no polish, stripped-down arrangement, mosh-pit intensity","1990s","Rap metal with aggressive protest lyrics, raw shouted rap vocals, drop-tuned guitar riffs, and hip-hop influenced rhythms. High-energy breakdowns, militant groove, and confrontational anti-establishment attitude. Raw analog production with no polish."
"Pop - Cinematic Alt-Pop","dark nostalgia, euphoric melancholy, emotive","110-130","synths, hybrid synth-rock guitars, atmospheric pads, dynamic builds, electronic elements","emotive vocals, expressive delivery","The 1975; Twenty One Pilots; Imagine Dragons; Billie Eilish; Lorde","polished production, dynamic builds, atmospheric groove, viral modern edge","2010s-2020s","Cinematic alt-pop with hybrid synth-rock elements, anthemic pulse, and dark nostalgic atmosphere. Emotive vocals with dynamic builds leading to euphoric melancholy moments. Polished production with viral modern edge."
"Techno - Melodic Peak-Time","dark, hypnotic, driving, energetic","125-135","powerful four-on-the-floor kick, tight rolling bassline, analog synth stabs, delayed arpeggios, crisp hi-hats, percussive shakers","short vocal phrases, looped vocal hooks","ARTBAT; Tale Of Us; Stephan Bodzin; Adriatique; Maceo Plex","heavy sidechain compression, stripped-down intro, tension-building risers, controlled breakdowns, energy-focused drops, DJ-friendly arrangement, underground warehouse club vibe","2010s-2020s","Melodic techno peak-time club track with powerful four-on-the-floor kick, tight rolling bassline, and hypnotic repetition. Dark club atmosphere with minor-key melodies, delayed arpeggios, and controlled breakdowns leading to energy-focused drops. Heavy sidechain compression and crisp hi-hats. Underground warehouse club vibe with late-night dancefloor energy."
